Условие отправки,Раздел,Название,Фраза,,,,,,,,,,,,,,,,,,,,,
"Первое приветственное сообщение, отправляем всем новым клиентом в зависимости от тега, с которым пришел клиент",ТЕСТ MAX,1. Приветствие (sweetgold),"Здравствуйте! Меня зовут София, я буду Вашим персональным менеджер‍ом

У нас вы можете создать толстовку с любым дизайном: надпись, эмблема, картинка. Мы готовы воплотить любую вашу идею

[photo-https://store.wazzup24.com/3a06e18f1d88ef33233d74406bbce17fa0c2a9e4/?filename=ChatGPT%20Image%2026%20июн.%202026%20г.,%2010_28_42.png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,1. Приветствие (sweetwhite),"Здравствуйте! Меня зовут София, я буду Вашим персональным менеджер‍ом

У нас вы можете создать толстовку с любым дизайном: надпись, эмблема, картинка. Мы готовы воплотить любую вашу идею

[photo-https://store.wazzup24.com/1c77d9f0333bd87de7b494c84a86591e2953030d/?filename=ChatGPT%20Image%2015%20июл.%202026%20г.,%2008_25_19.png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,1. Приветствие (sweetgoldZ),"Здравствуйте! Меня зовут София, я буду Вашим персональным менеджер‍ом

У нас вы можете создать толстовку с любым дизайном: надпись, эмблема, картинка. Мы готовы воплотить любую вашу идею

[photo-https://store.wazzup24.com/fd741080d44b1618bea0ec1328e350cd921935b7/?filename=ChatGPT%20Image%2015%20июл.%202026%20г.,%2008_28_39.png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,1. Приветствие (sweetrussia),"Здравствуйте! Меня зовут София, я буду Вашим персональным менеджер‍ом

У нас вы можете создать толстовку с любым дизайном: надпись, эмблема, картинка. Мы готовы воплотить любую вашу идею

[photo-https://store.wazzup24.com/012e114c82987cb12682e8d099de51a55a21d17a/?filename=ChatGPT%20Image%2026%20июн.%202026%20г.,%2010_03_52.png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,1. Приветствие (sweetfamily),"Здравствуйте! Меня зовут София, я буду Вашим персональным менеджер‍ом

У нас вы можете создать толстовку с любым дизайном: надпись, эмблема, картинка. Мы готовы воплотить любую вашу идею

[photo-https://store.wazzup24.com/f10bf0b94da6eed1d2ccacc551c2965b6c83cb0c/?filename=ChatGPT%20Image%2026%20июн.%202026%20г.,%2010_19_28.png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,1. Приветствие (sweetgradient max),"Здравствуйте! Меня зовут София, я буду Вашим персональным менеджер‍ом

У нас вы можете создать толстовку с любым дизайном: надпись, эмблема, картинка. Мы готовы воплотить любую вашу идею

[photo-https://store.wazzup24.com/ab06860460091b771deeed3103b59100f6ef7fb9/?filename=ChatGPT%20Image%2026%20июн.%202026%20г.,%2010_31_57.png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,1. Приветствие (sweet_patriot_max_2),"Здравствуйте! Меня зовут София, я буду Вашим персональным менеджер‍ом

У нас вы можете создать толстовку с любым дизайном: надпись, эмблема, картинка. Мы готовы воплотить любую вашу идею

[photo-https://store.wazzup24.com/2a677f4150fe3460c2c1a6195dcfc8f83543a13c/?filename=ChatGPT%20Image%202%20июл.%202026%20г.,%2010_08_31.png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,1. Приветствие (sweet_patriot_max_3),"Здравствуйте! Меня зовут София, я буду Вашим персональным менеджер‍ом

У нас вы можете создать толстовку с любым дизайном: надпись, эмблема, картинка. Мы готовы воплотить любую вашу идею

[photo-https://store.wazzup24.com/a9a5f08b764bfa36bdd75c994f8ce35ff7fd6eac/?filename=ChatGPT%20Image%202%20июл.%202026%20г.,%2010_10_11.png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,1. Приветствие (sweet_patriot_max_4),"Здравствуйте! Меня зовут София, я буду Вашим персональным менеджер‍ом

У нас вы можете создать толстовку с любым дизайном: надпись, эмблема, картинка. Мы готовы воплотить любую вашу идею

[photo-https://store.wazzup24.com/59770619fc48d33d051d14618465dd7f9d356fd6/?filename=ChatGPT%20Image%202%20июл.%202026%20г.,%2010_25_14.png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,1. Приветствие (sweet_patriot_max_5),"Здравствуйте! Меня зовут София, я буду Вашим персональным менеджер‍ом

У нас вы можете создать толстовку с любым дизайном: надпись, эмблема, картинка. Мы готовы воплотить любую вашу идею

[photo-https://store.wazzup24.com/ff0f1b07493d0103a2ec10272121bb7411d7f1b5/?filename=ChatGPT%20Image%202%20июл.%202026%20г.,%2010_20_05.png]",,,,,,,,,,,,,,,,,,,,,
,ТЕСТ MAX,"1. Приветствие (anna_patriot_1,2,3)","Здравствуйте! Меня зовут София, я буду Вашим персональным менеджер‍ом

У нас вы можете создать толстовку с любым дизайном: надпись, эмблема, картинка. Мы готовы воплотить любую вашу идею

[photo-https://store.wazzup24.com/a01f1f23079bb46e5d6934caa802c68b509197ad/?filename=ChatGPT%20Image%2017%20июл.%202026%20г.,%2010_03_29.png]]",,,,,,,,,,,,,,,,,,,,,
